605,3042574487665
774,3390828791227
101,5803029027987
792,9259307714574
458,03974454846787
128,91194089214116
181,40339640949026
399,4523322436933
300,72347670380907
228,70184888446354
119,50618650360904
856,1985545718442
578,8894389805183
128,24278028885658
103,83643187104857
532,5778929830617
634,6549472660885
743,3616240298447
619,5353308916668
735,9867537396432
561,0485938767662
931,2633025560865
658,2738720084203
129,9904805034195
234,251568828639
201,71385202725384
940,757653639222
204,19222584762332
753,5702383420463
273,13547431702807
712,0321001536178
280,94846913156675
443,31406646984937
262,20514676337683
332,5695112568388
596,5605114214459
441,72055562814427
301,5985641126954
187,31929975720087
144,8463189014177
575,1930438872159
472,1573756940543
267,6029063052922
411,7696846680002
771,6261316844218
418,7818627737377
864,0196090713642
425,330758797544
133,30865175558708
421,5675500555926
883,9107057307259
305,7334644241546
727,0014907501195
311,7061487829543
563,0113342861125
104,96819181171638
425,97164939101117
604,712737755871
278,3003549751189
771,9640757141821
875,8937110783379
876,4051831353956
250,6997416013324
538,1365276370773
342,4404126011322
177,0965417476334
695,6896854035901
784,7979929088164
138,8302142035165
814,8378485071622
348,07499160736097
604,4627950884434
226,19398317402818
273,7093821463985
498,47229420674483
932,5771369439364
523,7849759064597
198,9228121990235
684,8986742360322
369,65244431602594
869,8229700322839
439,0462166149304
959,4024892201215
392,476287926943
314,77467923679495
549,02749970244
359,7113914564122
445,2897011865204
609,4954920256421
809,0327823767888
315,4211033079025
188,90715567722413
832,0009067443982
239,60257927203864
448,2730988788938
844,6237162110418
597,7260522813872
211,8379268605123
603,9824071785952
517,7026911829332
